EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
제32회 아림예술제,,2000-09-25,2000-09-27,,거창읍 일원,"국악경연대회, 민요경창대회 외"
제11회 광주 학생연극제,,2000-09-25,2000-09-29,,광주,"광주고 ＜단독강화＞ 외 9개 작품, 광주학생회관 등"
세계 꼭두극축제,,2000-09-25,2000-09-30,,경주,"국내 5개, 해외 7개 극단, 경주 세계문화엑스포장 내 화랑인형극장"
아시아 소극장네트워크 2000,,2000-09-26,2000-10-21,,부산,"갤러리 씨어터 ＜육체의 힘＞ 외 해외 2개 작품, 경성대 소극장"
논개대축제,,2000-09-27,2000-10-01,,장수군 일원,"전북농악경연대회, 국악공연 외"
군민한마음 풍년잔치,,2000-09-28,2000-09-28,,,"길굿, 농악대 한마당 외"
태풍문화제,,2000-09-28,2000-10-01,,횡성종합운동장,종합축제
강원도 민속예술축제,,2000-09-28,2000-10-01,,횡성종합운동장,
서귀포 70리 축제,,2000-09-28,2000-10-03,,서귀포시 정방폭포 외,"민속예술제, 전통국악연주 외"
제39회 한라문화제,,2000-09-28,2000-10-04,,제주시 탑동광장,"전국 민요경창대회, 남녀시조경창대회, 해외예술단 공연 외"
제14회 천안삼거리 문화제,,2000-09-29,2000-09-29,,천안문예회관,"국악공연, 국악경연대회 외"
제2회 김제 지평선축제,,2000-09-29,2000-10-01,,벽골제광장,전국농악경연대회
2000 부평 풍물대축제,,2000-09-29,2000-10-01,,부평로 외,"민요경창대회, 학생풍물경연대회, 연변예술단 공연 외"
제5회 온달문화축제,,2000-09-29,2000-10-01,,단양군 일원,충북민속예술 경연대회 외
세계 통과의례페스티벌 2000,,2000-09-29,2000-10-03,,남산골 한옥마을,"해외민속예술단 공연, ‘소리여세’의 동편제 판소 리마당 외"
안동 국제탈춤페스티벌 2000,,2000-09-29,2000-10-08,,안동시내 일원,"탈춤공연, 탈놀이경연대회 외"
제2회 무등청소년문화예술제,,2000-09-30,2000-10-01,,광주시민회관 외,국악경연대회
아림 예술제,,2000-09-30,2000-10-02,,거창읍 일원,"민속공연, 국악경대회, 민요경창대회 외"
2000 강화도문화축제,,2000-09-30,2000-10-03,,강화역사관광장 외,고인돌 이벤트 외
한밭문화제,,2000-09-30,2000-10-03,,엑스포과학공원,전국풍물경연대회 외
제4회 2000 봉화 송이축제,,2000-09-30,2000-09-07,,"봉화체육공원, 군민회관 외",경북도립국악한마당 외
채만식연극제,,2000-09-30,2000-10-13,,군산,"사람세상 ＜시님과 새장사＞ 외 4개 작품, 군산 사람세상 소극장"
국악로 국악문화 대축제,,2000-10-01,2000-10-01,,종로,"굿, 길놀이, 봉산탈춤 외"
서편제 보성소리 축제,,2000-10-01,2000-10-31,,서편제 보성소리 전수관,"전국 판소리경연대회, 판소리 성지순례 외"
제7회 경남예술한마당,,2000-10-02,2000-10-02,,김해공설운동장,가야금산조와 판굿 외
제50회 개천예술제,,2000-10-03,2000-10-22,,진주성 일대,"민속투우대회, 국악경연대회 외"
제2회 서울 셰익스피어 페스티벌,,2000-10-03,2000-11-15,,서울,"일반극, 학생극, 학술세미나, 여해문화공간, 포천 등"
제15회 동두천 소요문화제,,2000-10-04,2000-10-31,,시민회관 공연장,"국악경창대회, 전국민속예술축제 참가 시연회 외"
2000년 제8회 흥부제,,2000-10-05,2000-10-06,,사랑의 광장 특설무대 외,"남원농악경연대회, 창극 흥부가 외"
제27회 모양성제,,2000-10-05,2000-10-09,,모양성읍,"전국 답성놀이, 국제 민속춤공연 고창농악 경연대회"
제9회 경기도 어린이연극제,,2000-10-05,2000-10-09,,용인,삼성 에버랜드 유로피안 공연장
제2회 전주 산조페스티벌,,2000-10-06,2000-10-08,,교동 한옥마을,서양악기 산조
제46회 백제문화제,,2000-10-06,2000-10-09,,부여군 일원,"역사재현 및 제례, 전통민속 및 문화예술"
제34회 처용문화제,,2000-10-06,2000-10-08,,태화강 둔치 특설무대,"황해도 만수대탁굿, 진도 씻김굿 외"
회룡문화제,,2000-10-07,2000-10-07,,의정부시청 야외무대,사물놀이외
제20회 대한민국국악제,,2000-10-08,2000-10-11,,"국립국악원, 한옥마을 외",국악공연
전국 대학연극제,,2000-10-09,2000-10-16,,서울,"서강대 몸짓 ＜나무인형＞ 외 7개 작품, 국립극장 달오름극장"
광주 소극장 연극축제,,2000-10-11,2000-11-19,,광주,"푸른연극마을 ＜꽃잎져서 피＞ 외 5개 작품, 문예정터 등"
종로 국악로 국악대축제,,2000-10-13,2000-10-13,,국악의 거리 외,"정광수 판소리, 이은관의 ‘배뱅이굿’ 외"
소양제,,2000-10-13,2000-10-14,,수변공원,
제13회 전통문화축제,,2000-10-13,2000-10-14,,인사동 거리,국악한마당 외
제38회 마산예술제,,2000-10-13,2000-10-31,,양덕동 삼각지,"풍물놀이, 농청놀이 외"
제7회 베세토연극제 2000,,2000-10-13,2000-10-22,,서울,"＜춘향전＞에 관한 한, 중, 일 3개 작품, 국립극장 해오름극장 등"
제6회 동아시아•태평양 인형극제,,2000-10-13,2000-10-15,,강릉,"한, 중, 일, 러 4개국 12 단체"
인사동 전통문화 죽제한마당,,2000-10-14,2000-10-15,,인사동 거리,전통마당놀이 외
제주 억새꽃축제,,2000-10-14,2000-10-17,,제주경마공원 외,중국예술단 공연 외
용강 장승촌 문화제,,2000-10-15,2000-10-15,,창원시 동읍 용강리,사물놀이 외
제2회 무등예술제,,2000-10-16,2000-10-27,,광주시민회관 외,"농악, 사물놀이 경연대회"
제19회 밀양예술제,,2000-10-16,2000-10-30,,시청 대강당 외,국악발표회 외
제3회 변방연극제,,2000-10-16,2000-11-13,,서울,"＜몽-여자의 고향은 바다였다＞ 외 9개 실험연극 작품, 아리랑소극장 등"
제10회 구름산국악제,,2000-10-17,2000-10-17,광명시,광-명시민회관 대공연장,국악공연
제11회 김해예술제,,2000-10-17,2000-10-22,김해시,김해시내 일원,
세주 민속가면 대축제,,2000-10-19,2000-10-22,,저주시 탑동광장 및 호현로,국내외예술단 공연
제13회 낙성대 인헌제,,2000-10-20,2000-10-21,,낙성대공원,"인헌제, 국악공연 외"
제5회 강동 선사문화축제,,2000-10-20,2000-10-22,,암사동 선사주거지 일원,"전통공연, 청소년 동아리축제 외"
제4회 전국 청소년연극제,,2000-10-24,2000-11-01,,서울,"전국 고등학교 연극반 18개 작품, 예술의전당 자유소극장"
제40회 한국민속예술 축제,,2000-10-25,2000-10-27,,순천 낙안읍성 민속마을,민속예술경연대회
서울무용제,,2000-10-25,2000-11-13,,문예회관 대 • 소극장,"10월25일 : 김정학무용단 10월29-30일 : 중견무용인 새천년의 만남 10월27일 : 최성옥현대무용단 11월 1-2일 : 안신희현대무용단 11월4-5일 : 지구댄스씨어터, 부산현대무용단 11월7-8일 : 김은희무용단 TO DANCE COMPANY 11월8일 : 현대무용단 ‘자유’, 서울현대무용단 11월9일 :설무리, 임현미현대무용단 11월10일 : 춤다솜무용단, 경남무용단 11월 10-12일 : 가림다현대무용단, 정혜진무용단"
제7회 서울시민의 날,,2000-10-26,2000-10-29,,세종문화회관 외,"2000 서울 월드 드럼페스티벌, 지구촌 한마당축제 외"
남이장군대제,,2000-10-27,2000-10-31,,남이장군 사당,남이장군 당굿 외
제3회 보성소리축제,,2000-10-28,2000-10-28,,보성실내체육관,"국악공연, 국악경연대회 외"
문화의 달 2000 행사,,2000-10-28,2000-10-29,,"대학로, 명동, 홍대",
인사동축제,,2000-10-29,2000-10-29,,인사동 거리,"고미술품전, 국악공연 외"
제6회 단군예술제,,2000-10-29,2000-10-29,,남한산성 배드민턴장,"성남국악단, 세악한마당 외"
제2회 피지컬 시어터 페스티벌 인 서울,,2000-11-01,2000-11-05,,서울,"국내 2개, 일본 2개 작품, 열린극장"
아리랑축제,,2000-11-03,2000-11-05,,진도 향토문화회관 및 돈지마을,아리랑 학술세미나 외
충북 대학연극축전,,2000-11-04,2000-11-05,,청주,"충북예술제 행사, 청주 예술의전당 소공연장, 충북대 ＜국물 있사옵니다＞ 외 1개 작품"
서울시 장애청소년 연극축전,,2000-11-07,2000-11-22,,서울,"장애청소년 연극단체 14개, 제일화재 세실극장"
파주 장단콩축제,,2000-11-10,2000-11-12,,파주 군내면 일원,풍물놀이 외
제1회 한배예술제,,2000-11-11,2000-11-12,,충남 독립기념관 겨레의 집,국악경연대회 외
한국마임 2000,,2000-11-13,2000-12-01,,서울,"고재경 ＜꿈꾸는 두 도둑＞ 외 15개 작품 및 자유참가작, 동승홀 등"
전국 어린이연극경연대회,,2000-11-16,2000-11-16,,서울,주생초등학교 ＜어린이 춘향전＞ 외 7개 작품
처용연극페스티벌,,2000-11-16,2000-11-24,,울산,"시나위 ＜무영탑＞ 외 4개 작품, 울산문예회관 소공연장"
2000 연출가협회 워크샵,,2000-11-28,2000-12-07,,서울,"류근혜, 손정우, 최용훈 등 3인, 바탕골소극장"
2000 부산 소극장페스티벌,,2000-12-01,2000-12-31,,부산,"동녁 ＜사랑, 첫 이미지-꿈＞ 외 2개 작품, 연당소극장"
제10회 제주도 소극장축제,,2000-12-02,2000-12-21,,제주,"무 ＜돈내지 맙시다＞ 외 3개 작품, 제주도 문예회관소극장"
2000 새로운 예술의 해 무용부문 공모작 공연,,2000-12-05,2000-12-31,,,"""12월 5일: 비디오댄스 김현옥, 이정희, 홍신자, 자유소극장"
전북 소극장연극제,,2000-12-08,2000-12-31,,전주,"작은 소동 ＜길 위에 서다＞ 외 5개 작품, 전주 창작소극장 등"
대전 소극장연극축제,,2000-12-11,2000-12-15,,대전,"예사랑 ＜맨하탄 일번지＞ 외 2개 작품, 대전시민회관 소극장"
전국 소극장연극축제,,2000-12-16,2000-12-24,,마산,"돌체마임 ＜슬픈 광대의 노래＞ 외 5개 작품, 마산 올림픽기념 대극장"
"12월 5-6일: 안애순, 김효진, 문예회관 대극장, 육십나무무용단, 예술의전당 자유소극장 12월 7-8일: 조양숙댄스프로젝트, 포스코 강남사옥지하 1층 분수대 로비 12월 9-10일: 이정윤, 안덕기, 예술의전당 자유소극장 12월 21-23일: 동랑댄스앙상블, 서울드라마센터 대극장 12월 31일: 박영순, '평화를 노래하는 검무', 보신각"" 어린이연극축제",,2001-01-09,2001-01-31,,"서울, 정동극장.","극단 ‘수레무대’, ‘모시는 사람들’, ‘님비곰비’"
제1회 반(反) 공간실험,,2001-01-09,2001-03-04,,"서울, 리듬공간소극장",〈간이역 END> 등 2개 작품
제4회 한국안무가페스티벌,,2001-02-17,2001-02-18,（사）한국현대무용진흥회,문예회관 대극장,"경연참가자 공연 17일 : 최경실〈미소〉, 홍은주〈난지도 블루스〉, 장종윤〈머리와 밧줄〉 18일 : 전호진〈오페라와 춤〉, 이경은〈모모와 함께 - 동행〉, 류석훈〈항해 111〉"
인천연극제 2001,,2001-03-08,2001-03-18,,"인천, 인천종합문예회관 소극장, 수봉공원 문화회관",극단 ‘엘칸토’〈풍인〉등 5개 작품
제3회 댄스2000페스티벌,,2001-03-09,2001-03-28,씨어터제로,씨어터제로,"9-10일 : 황병연, 최주연〈행운을 예견하라〉, 김선정〈미야할미의 정적〉, 권혜란〈찾길 바래〉 12-13일: 김현주〈첫 번째 하늘〉, 최윤선〈죄인의 고백〉, 김지영〈망망, 갈 곳을 모른다〉 15-16일: 김준영〈아무 것도 아닌 것들〉, 박신정〈전진〉, 김현진〈벗겨진…〉 18-19일: 김상나〈하나를 위한 넷? 아니면 넷을 위한 하나〉, 윤석태〈시선 그리고 흡수〉, 길현정〈0의 공간〉 21-22일: 이정은〈벽〉, 이현경〈누가 내 TV를 옮겼을까?〉, 안승현〈기억의 처음〉 24-25일: 박수진〈나를 찾아 떠나는 여행〉, 이영주〈마리아의 뺨에 흐르는 눈물을 보았다〉, 민정희〈무인도〉 27-28일: 송은령〈산책〉, 임수정〈시골쥐 & 서울쥐〉, 이희자,〈악마…〉"
혜화동일번지 3기 동인 ‘육두육감’,,2001-03-15,2001-06-03,,"서울, 연극실험실 혜화동일번지","양정웅, 송형종, 박장렬, 김낙형, 오유경, 이해제의 새 작품"
2001 부산연극제,,2001-03-25,2001-04-19,,"부산, 부산시민 회관, 부산문화회관",극단 ‘맥’〈흉가에 볕들어라〉등 10개 작품
제19회 충북연극제,,2001-03-31,2001-04-05,,"충북, 청주예술의전당 대공연장 등지",극단 ‘달래’〈가족사진〉등 3개 작품
제19회 경기연극제,,2001-04-07,2001-04-15,,"경기, 경기도내 11개 참가 시, 군 공연장",의정부연극협회〈먼지〉등 11개 작품
제18회 대구연극제,,2001-04-08,2001-04-16,,"대구, 대구문예회관 대극장",극단 ‘연인무대’〈돼지사냥〉등 4개 작품
제12회 경북연극제,,2001-04-11,2001-04-18,,"경북, 포항문예 회관, 경주예술극장 등 5곳",극단 ‘은하’〈산국〉등 8개 작품
제19회 전남연극제,,2001-04-12,2001-04-16,,"순천, 순천문예회관",극단 ‘거울’〈돼지 비계〉등 5개 작품
제4회 울산연극제,,2001-04-15,2001-04-19,,"울산, 울산문예회관 소공연장",극단 ‘광대’〈버스 정류장〉등 3개 작품
제19회 충남연극제,,2001-04-16,2001-04-21,,"홍성, 홍성 홍주문화회관",극단 ‘홍성무대’〈날 보러와요〉등 6개 작품
제19회 경남연극제,,2001-04-17,2001-04-25,,"통영, 통영시민문화회관",극단 ‘현장’〈외디푸스와의 여행〉등 9개 작품
제17회 전북연극제,,2001-04-18,2001-04-23,,"전북, 전주예술회관, 익산 솜리예술극장 등지",극단 ‘하늘’〈부자유친〉등 6개 작품
제15회 광주연극제,,2001-04-19,2001-04-22,,"광주, 광주문예회관 소극장",극단 청춘〈비빔밥〉등 4개 작품
제18회 강원연극제,,2001-04-25,2001-04-30,,"원주, 원주 치악예술관",극단 ‘연극사회’〈칠수와 만수〉등 6개 작품
박현숙연극제,,2001-05-01,2001-05-31,,"대구, 대백예술극장",무천극예술학회가 작가 박현숙의 희곡 네 작품으로 꾸민 무대
여성연출가전-한국에서 만나는 프랑스 연극,,2001-05-04,2001-06-29,,"서울, 예술극장 활인",〈왕은 죽어가다〉등 3개 작품
서울세계청소년무용죽제,,2001-05-04,2001-05-07,한국현대무용진흥회,서울 교육문화회관,
제8회 민족춤제전,,2001-05-10,2001-05-13,,문예회관 대극장,"주제 - 분단2세기 평화천사 종횡무진 10일 : 한국실험 예술정신, 광조우무용단（중국） 11일 : 춤패 아홉, 윤미정춤집단, 파슨즈댄스프로젝트（미국） 12일 : 베트남국립무용단, 포즈댄스시어터 13일 : 창작그룹 목, 정명자무용단（일본）"
제1회 전국우수마당극제전,,2001-05-11,2001-05-13,,"목포, 목포종합문예회관 야외 마당",극단 ‘우금치’〈쪽빛 황혼〉등 7개 마당극 작품
제13회 마산국제연극제,,2001-05-19,2001-05-31,,"마산, 올림픽국민생활관 대극장, 마산 MBC홀 등지","국내 14개 극단, 조성진 등 마임 5개 작품, 해외 4개국 극단 참여"
제5회 창작마을단막극제,,2001-05-22,2001-06-24,,"서울, 명동 창고극장",〈닭에 대한 논리〉등 3개 작품
제20주년 국제현대무용제,,2001-05-23,2001-05-25,,"세종문화회관 분수대광장, 문예회관 대극장","21일 : 밀레현대무용단〈카타르시스〉, 미르현대무용단〈아라리오〉, 서울현대무용단〈20gener@태풍전야.com〉 22일 : 부산현대무용단〈꿈꾸는 사람들〉, 임지형광주현대무용단〈여덟 번째 단상〉, PROVISIONAL DANZA（스페인） <CALLE> 23일 : 스스로춤모임〈담아지지 않는 시간〉, 코스모폴리탄현대무용단〈바다의 침묵〉, HOWARD KATZ（독일）〈KATA〉, 빅인숙지구댄스시어터〈여섯줄의 시〉, PROVISIONAL DANZAG스페인） 〈FINE ROMANCE 1> 24일 : 김양근가리온무용단〈적기〉, 청호현대무용단〈미완성된 천지의 도〉, Jody Oberfelder Dance Project（미국） <Slay the Dragon>, 밀물현대무용단〈One upon a time>, PROVISIONAL DANZA（스페인） <FINE ROMANCE 1> 25일 : 김혜정현대무용단〈카르멘, 카르멘〉, 소라댄스앙상블무용단〈하늘춤〉, HOWARD KATZ（독일）<SCARS>, 툇마루무용단〈내몸은 태양에 비틀거린다〉, Jody Oberfelder Dance Project（미국） <The Story Thus Far>"
제19회 전국연극제,,2001-05-24,2001-06-08,,"제주, 제주도문예회관",전국 각 시도에서 선발된 15개 극단들의 경연
남양주 세계야외공연축제 2001,,2001-05-25,2001-05-27,,"남양주, 남양주 새터호반 등지","기획공연 2개 작품, 자유참가작 22개 작품, 해외초청작 4개 작품"
2001 신춘단막선,,2001-05-25,2001-05-30,,"서울, 문예회관 소극장",〈복숭아꽃 살구꽃〉등 4개 작품
남양주세계야외 공연축제2001,,2001-05-25,2001-05-27,,,"김용철섶무용단〈볽디붉은〉, 김은이짓무용단〈태평무변주〉, 김선미〈월영일시무〉, 춤패너울〈공해강산 좋을시고〉"
TC（Theatre Club） 아프리카페스티벌,,2001-05-26,2001-06-11,,"서울, 국립중앙극장 실험무대",〈길〉등 3개 작품
2001 춘천국제마임축제,,2001-05-30,2001-06-03,,"춘천, 춘천인형극장","국내 38개 극단, 해외 5개국 9개 극단, 아마추어 마임극회 등"
2001 수원화성국제연극제,,2001-06-01,2001-06-10,,"수원, 장안공원, 화성행궁, 경기도문예회관","해외초청작 4개 작품, 국내초청작 7개 작품"
제7회 죽산국제예술제,,2001-06-01,2001-06-04,,웃는돌 야외무대 및 저수지 주변일대,"주제-21세기의 기원 Kei Takei Moving Earth Dance Company, Bread and Puppet Theater, Taipei Dance Circle, Yuji Nara, 김영순, Douglas Lyon and Louise Vilsgaard, 손관중"
제3세계 해외명작단막선,,2001-06-02,2001-06-10,,"서울, 문예회관 소극장",〈행렬〉등 4개 작품
2001 안톤 체홉 단막페스티벌,,2001-06-06,2001-06-30,,"서울, 단막극장",〈청혼〉등 2개 작품
황해연극제,,2001-06-07,2001-06-14,,"인천, 인천종합문예 회관 소공연장, 야외무대",극단 ‘현장’〈구름씨앗〉등 3개 작품
한국강의 혼과 예술-낙동강,,2001-06-10,2001-07-24,,"서울, 예술의전당 돌의광장",낙동강 일원에서 발생한 가면극 8편을 재현한 페스티벌
제9회 젊은연극제,,2001-06-23,2001-06-30,,"서울, 동숭홀 등 8개 공연장",대학 연극학과 31개 팀 참가
제11회 경기도아마추어연극제,,2001-06-30,2001-07-04,,"안성, 안성시민회관",극단 ‘씨네라마’〈안개섬〉등 24개 작품들의 경연
2001 부산여름무용축제,,2001-07-02,2001-07-07,,"경성대 콘서트홀, 해운대 야외무대","2-4일 : 무용학교 5일 : 무용학과 20주년 동문의 밤 6일 : 해외무용인초청공연, 학술심포지움 7일 : 야외공연"
제5회 전북청소년연극제,,2001-07-09,2001-07-15,,"전주, 전북예술회관",정읍 학산여자정보산업고〈가시고기〉등 7개팀 참가
남도연극제（제2회 영호남연극제）,,2001-07-13,2001-07-18,,"순천, 순천문예 회관, 금당근린공원",호남지방과 영남지방에서 활동하는 9개 극단 참가
한국을 빛내는 해외무용스타 초청공연,,2001-07-14,2001-07-15,,LG아트센터,"콘스탄틴 이바노프（볼쇼이발레단）, 엠스터 암브루시노（수잔 링케무용단）, 유룩 시몬（뒤셀도르프발레단）, 마리아 야콥스（산호세발레단）, 챠오 첸（애틀란타발레단）, 강예나（아메리칸발레시어터）, 곽규동（네바다발레단）, 김나영（피나 바우쉬무용단）, 김혜영 （애틀란타발레단）, 김희진（프랑스 장 끌로드 갈로타무용단）, 배주윤（볼쇼이발레단）, 유지연（키로프발레단）, 최광석 （산호세발레단）, 허용순（뒤셀도르프발레단） 등"
Off Theatre 2001 퓨전앙상블,,2001-07-17,2001-08-12,,"서울, 국립중앙극장 별오름극장",납량특선 호러 바디페인팅 댄싱쇼 등 8개 작품
제6회 인천국제클라운마임축제,,2001-07-18,2001-07-23,,"인천, 인천종합문예회관 등지",국내외 20여명의 마임이스트 참가
2001 서울아동청소년 공연예술축제,,2001-07-21,2001-08-05,,"서울, 동숭홀 등 서울 소재극장","공식참가작 국내 4개, 해외 3개 작품 및 특별초청작 1개, 자유참가작 5개, 청소년 부문 초청작 5개 작품"
호주페스티벌,,2001-07-25,2001-08-19,,"서울, 예술의전당 오페라극장, 토월극장, 자유소극장",오스트레일리아 극단의 아동극 5개 작품
호주연방정부수립 100주년기념 호주페스티벌,,2001-07-26,2001-08-19,,"예술의전당 토월극장, 자유소극장","오스트레일리아댄스시어터〈새들의 사랑〉, 어린이극, 무성영화"
2001 포항바다연극제,,2001-07-27,2001-08-05,,"포항, 포항 해맞이공원 일대",극단 ‘은하’〈산국〉등 5개 작품
제1회 밀양여름공연축제,,2001-07-28,2001-08-12,,"밀양, 밀양 연극촌",극단 ‘고도’〈슬픔의 노래〉등 16개 작품
이윤택연극제,,2001-07-28,2001-08-12,,"밀양, 밀양 문화체육회관",극단 ‘연희단거리패’〈어머니〉등 3개 작품
제2회 무의도해변연극축제,,2001-07-29,2001-07-29,,"인천, 무의도 하나개해수욕장",인천연극협회〈놀부뎐〉등
전라예술제-여름날의 아외극축제,,2001-08-01,2001-08-30,,"전주, 전주객사 특별무대","극단 ‘하늘’, ‘명태’, ‘창작극회’ 참가"
제13회 거창국제연극제,,2001-08-01,2001-08-16,,"거창, 거창시 위천면 수승대 선 박극장 등지","해외초청작 6개 작품, 국내초청작 21개 작품"
제1회 대구거리마임축제,,2001-08-03,2001-08-05,,"대구, 대구 동성로 대백앞, 대구 MBC 앞뜰 등지","마임, 퍼포먼스, 인형극, 춤이 펼쳐진 거리 축제"
제14회 전국민족극한마당,,2001-08-09,2001-08-12,,"성주, 성주군 성밖 숲 야외무대",극단 ‘자갈치’〈샛길 더부살이〉등 13개 공식참가작과 7개 특별 공연
춘천인형극제 2001,,2001-08-09,2001-08-15,,"춘천, 춘천인형극장","국내 42개 전문 인형극단, 25개 아마추어 인형극단, 해외 4개국 8개 극단"
의정부아동연극축제,,2001-08-16,2001-08-26,,"의정부, 의정부예술의전당",극단 ‘한샘’〈바보 이반〉등 5개 작품
제5회 전국주부연극제,,2001-08-21,2001-08-30,,"서울, 여의도 굿모닝300홀",아마추어 주부극단 10개 단체들의 경연
창무국제예술제,,2001-08-28,2001-09-03,,세종문화회관,"참가단체 싱가폴댄스씨어터 , 말레이지아 탄닥댄스컴퍼니, 일본 야가다 세츠코, 중국 장쟁화, 일본오쿠라 소노스케, 김천홍, 김매자, 김선미, 창무회, 서울발레씨어터, 김은희, 김나영 등"
위성신연극제,,2001-08-30,2001-12-30,,"서울, 아리랑소극장, 인간소극장",〈벤치 위의 세 남자〉등 5개 작품
제10회 경북청소년연극제,,2001-09-05,2001-09-11,,"경북, 구미문예회관, 영주시민회관 등지",상주여고〈죽은 시인의 사회〉등 7개 작품
제4회 광주소극장연극축제,,2001-09-07,2001-09-29,,"광주, 문예정터, 연바람소극장, 파랑새아트홀",극단 ‘청춘’〈늙은 도둑 이야기〉등 5개 작품
제6회 인천안무가전,,2001-09-07,2001-09-07,,인천종합문예회관 소공연장,"곽성희〈검은안개〉, 민경화〈또다른 희망을 꿈꾼다〉, 송정은〈사모곡〉, 박혜경〈미친 듯 살고 싶어라〉, 송정희〈고독이라는 이름의 여행자〉, 최경희 등"
독립예술제 2001,,2001-09-08,2001-09-22,,"서울, 홍익대 주변 공공건물, 야외공간 등지","연극, 무용, 마임, 미술, 영화 등에서 독립적 제작방식 실험"
독립예술제 무용공연,,2001-09-08,2001-09-19,,"씨어터제로극장, 창무포스트극장","연계화 댄스프로젝트, 댄스루트, 똥자루무용단, 서경발레단, 창작춤집단 가관. 대전춤목련회 등"
제4회 제주청소년연극제,,2001-09-11,2001-09-14,,"제주, 제주학생문화원 대극장",신성여고〈철부지들〉등 7개 작품들의 경연
2001 대학무용제,,2001-09-12,2001-09-13,부산대학무용진흥회,부산문화회관,"""12일 : 김정순〈파우스트〉, 한은주〈실험〉, 김온경, 광수무, 김희은〈퓨전 21>"
과천마당극제 2001,,2001-09-14,2001-09-23,,"과천, 과천시민회관 앞 잔디마당, 중앙공원 관문체육공원 등지",국내참가작 33개 작품과 해외초청작 8개 작품
제12회 광주학생연극제,,2001-09-14,2001-09-23,,"광주, 광주 학생교육문화회관",전남여고〈겨울강 하늬바람〉등 10개 작품
제1회 노동단막극제,,2001-09-15,2001-09-16,,"부산, 소극장 실천무대",극단 ‘새벽’〈비오는 날의 선술집〉등 3개 작품
파스페스티벌(1 회),,2001-09-17,2001-10-28,,"서울, 대학로극장",극단 ‘수레무대’의 요일 레파토리
"13일: 이영희〈파도, 일어남 사라짐, 그 생명력을 춤 춘다〉, 박은화〈놀이 - 세 번째〉, 김복선〈일몰〉. 강미리〈활〉"" 제10회 전국무용제",,2001-09-18,2001-09-27,,천안학생회관,
2001 삼송작은마을공연축제,,2001-09-21,2001-09-23,,"고양, 삼송전철역 야외무대, 농협 앞마당 등지","극단 ‘민들레’〈똥 이야기〉등 국내 4개 작품, 해외극단 1개 작품"
2001 부산아시아연극제,,2001-10-01,2001-10-26,,"부산, 경성대 소극장.","한국, 대만, 홍콩, 일본의 4개 극단 공식 참여, 축하공연 2편"
안톤 체홉 코메디페스티벌,,2001-10-01,2001-10-28,,"서울, 국립중앙극장 별오름극장",극단 ‘주변인들’〈갈매기〉등 4개 작품
제6회 공주아시아일인극제,,2001-10-05,2001-10-07,,"공주, 공주 민속극박물관, 공주문예회관 소극장","한국, 일본, 베트남, 중국 등 4개국의 11개 작품"
안동국제탈춤페스티벌,,2001-10-05,2001-10-14,,"안동, 낙동강변 축제장, 하회마을",국내 탈춤패와 과테말라 등 6개 팀 참여
제9회 전북소극장연극제,,2001-10-06,2001-10-25,,"전주, 전주 창작소극장",극단 ‘창작극회’〈귀싸대기를 쳐라〉등 3개 작품
제3회 채만식연극제,,2001-10-06,2001-10-20,,"군산, 군산시민회관 소극장",극단 ‘사람세상’〈탁류〉등 3개 작품
서울공연예술제 (제23회 서울무용제),,2001-10-06,2001-11-13,,"문예회관 대극장, 국립극장 달오름극장","개막공연 (10.6) 역대 수상작 초청공연 (10.26) 춤과 테크놀로지 (10.28) 뮤지컬 속의 춤 (10.30) 우리 옛춤 한마당 (10.30) 갈라 초청공연 (10.31) 젊은 안무가를 위한 열린 무대 (11.1, 3) 2000년 우수작품 초청공연 (11.3, 5) 대중춤페스티벌 (11.4 - 5, 7-9)"
제4회 한 • 일 아트페스티벌,,2001-10-07,2001-10-15,,"서울, 시어터 제로","음악, 몸짓, 연극의 장르들을 망라한 21개 작품"
제4회 세계무용축제,,2001-10-07,2001-11-05,CID-UNESCO 한국본부,예술의전당 토월극장 등,"개막공연-김금화의 열림굿 (10.7) 중국 진싱무용단 공연 (10.7-9) 스위스 푸푸아 디모빌리테 & 댄스컴퍼니 조박 (10.10 -11) 프랑스 그르노블국립 무용단 (10.12) 다시 보는 신무용(10.12 - 13) 한국 LDP & 독일 BHDE(10.14) 젊은 무용가의 밤 1(10.14 - 15) 우리춤 빛깔찾기(10.16-17) 젊은 무용가의 밤 11(10.17 - 18) 이스라엘 인발핀토무용단(10.19) 별난 춤, 별난 춤꾼(10.20-21) 네덜란드 인트로단스청소년 앙상블 (10.21 - 22) 리틀아시아네트워크(10.24 - 25) 인도 바라타 나티얌무용단(10.26) 대구시립무용단 공연(10.29) 스위스 베자르발 로잔 내한공연 (11.3-5)"
제4회 한 • 일 아트페스티벌,,2001-10-07,2001-10-15,씨어터제로,씨어터제로,주제 - 소음 - 스마일 코리아 스마일 재팬
